	Article Title	Description	Coding	Movie
105	In ‘Priscilla,’ Sofia Coppola Imagines Priscilla Presley's Inner Life. Presley's 1985 Memoir Reveals It	The director finds a perfect Sofia Coppola protagonist in ‘Elvis & Me.’ But the book itself has even more to say about both the Presleys.	Movie production	Priscilla
106	'Saltburn' Premiere Red Carpet	https://instagram.com/p/CzrqIBPSXGfSaltburn had its Los Angeles premiere last night, and stars Jacob Elordi, Barry Keoghan, Carey Mulligan, Archie Madekwe, producer Margot Robbie, and director Emerald Fennell were in attendance.https://instagram.com/p/Czp6YN5…	Movie production	Saltburn
107	Pedro Pascal Seems Like A Risky Choice For Fantastic Four – And That's A Great Thing	Pedro Pascal is joining the Marvel Cinematic Universe as Reed Richards. That may be a slightly risky choice, but it seems like a very smart move for Marvel.	Unrelated	Not relevant
108	‘Hunger Games: The Ballad of Songbirds and Snakes’: How Lucy Gray’s Rainbow Dress Connects to Katniss	“You may know me from other stuff, but I don’t use a lot of colors, except when necessary,” says renowned costume designer Trish Summerville. So, when it came to designing the main outfit worn by Rachel Zegler’s Lucy Gray in “The Hunger Games: The Ballad of S…	Movie production	THG
109	Priscilla Music Supervisor Details Challenge Of Avoiding Elvis Songs For The Film	Priscilla's music supervisor Randall Poster explains how difficult yet &quot;exciting&quot; it was to avoid using Elvis songs for the film, which is out now.	Movie production	Priscilla
110	Emerald Fennell Is ‘Thrilled’ by the Way ‘Saltburn’ Leaves Audiences ‘Physically Shaken’	"The Oscar-winning writer-director talks to IndieWire about her ""tricky"" sophomore feature starring Barry Keoghan, which still has managed to ""connect deeply with people,"" whether they like it or not."	Positive review	Saltburn
111	How Cailee Spaeny Became Priscilla Presley	Inside the endless fittings, giant wigs, intimate conversations, and single-take risks that went into the creation of an indelible heroine for Sofia Coppola’s new film.	Movie production	Priscilla
112	‘The Marvels’ Faces Anti-‘Woke’ Backlash After Box Office Flop—Echoing ‘Captain Marvel’ Attacks	Both “The Marvels” and “Captain Marvel” star Oscar winner Brie Larson, who has faced sexist attacks for comments she has made pushing for diversity in Hollywood and film criticism.	Backlash	The Marvels
113	Sofia Coppola Wore the Jeans-and-Flats Outfit French Girls Love	Director Sofia Coppola isn't often in front of the camera but always has incredible style. Steal her French Girl-inspired look featuring jeans and flats.	Unrelated	Not relevant
114	‘The Holdovers’: David Hemingson On Writing For Paul Giamatti, Channelling His Boarding School Experiences & More	After 25 years of writing in Hollywood, David Hemingson is having a moment. A writer and producer on television shows such as “Just Shoot Me!,” “American Dad,” the cult favorite “Don’t Trust the B—- in Apt. 23,” and, “Whiskey Cavalier,” Hemingson is looking a…	Movie production	The Holdovers
115	Priscilla: Lana Del Ray almost featured on movie's soundtrack, says Sofia Coppola	Lana Del Ray has been an ardent fan of Elvis Presley and Priscilla. The singer was about to be part of the movie but conflicting schedules came in the way. Although Coppola extended an invitation to the Grammy-nominated artist for the film's premiere, Lana De…	Movie production	Priscilla
116	Even More Fantastic Four Casting Rumors Point Towards a Legendary Villain	Tom Hardy confirms filming has resumed on Venom 3. Eli Roth digs deep into designing Thanksgiving’s villain. Harley Quinn will return to Max for another season. Plus, get a look at Disney’s Percy Jackson series. Spoilers, assemble!Read more...	Movie production	Thanksgiving
117	Review: 'Saltburn' lays out a rich spread of class envy as one vulture swoops in to feed	"Writer-director Emerald Fennell, the ""Promising Young Woman"" Oscar winner, returns with another provocative drama, this one starring Barry Keoghan and Jacob Elordi."	Movie production	Saltburn
118	Where Is Priscilla Presley Now? What We Know About the Inspiration Behind the Sofia Coppola Film	The movie is based on her real life in the '60s, so there's a bit to catch up on.	Movie production	Priscilla
119	THANKSGIVING Review: Eli Roth Serves Up A New Holiday Horror Classic	One year after a Black Friday (ish) stampede kills multiple residents of Plymouth, Massachusetts, a costumed killer is out for revenge against anyone even remotely involved in the tragedy in Eli Roth's years-in-the-making Thanksgiving. What famously began as …	Positive review	Thanksgiving
120	The 2024 Oscars BuzzMeter is here to trumpet the contenders that will be and the ones that should be	Our BuzzMeter film experts are back to predict what contenders will get Oscar buzz and spotlight what they think deserves awards attention in 10 academy awards categories. Vote in the online polls!	Unrelated	Not relevant
121	How Snow Takes Center Stage in the Hunger Games Prequel	The Ballad of Songbirds and Snakes sees a younger Coriolanus Snow on a journey that will forever alter his destiny. Find out how he is really the Hunger Games prequel’s true protagonist.	Movie production	THG
122	Review: The Holdovers	The Holdovers blends feel-good and sorrowful themes thoughtfully to make a rewatchable flick. But the next watch will likely be over the holidays.	Movie production	The Holdovers
123	Thanksgiving Director Eli Roth Took Inspiration From This 1995 Horror Film [Exclusive]	Eli Roth is nothing if not a master of horror, and when he drew inspiration for Thanksgiving, he pulled from a little-seen masterpiece.	Actor & Director	Thanksgiving
124	Emerald Fennell has already conquered Hollywood. Now she wants to follow her 'crushes'	The Oscar-winning 'Promising Young Woman' screenwriter is back in the director's seat with 'Saltburn,' produced by Margot Robbie and co-starring Carey Mulligan.	Actor & Director	Saltburn
125	How ‘Thanksgiving’ Director Eli Roth Turned a Fake Trailer Into His Best-Reviewed Movie	Thanksgiving filmmaker Eli Roth has been dreaming of a Thanksgiving-themed slasher movie since he was 12 years old, and he thought he’d forever scratched that itch when he made a fictitious trailer for a movie called Thanksgiving inside of Robert Rodriguez an…	Actor & Director	Thanksgiving
126	‘The Holdovers’: A tale of three loners, suffused with tenderness	Paul Giamatti, Da’Vine Joy Randolph and newcomer Dominic Sessa star in director Alexander Payne’s story of found family.	Movie production	The Holdovers
127	‘The Marvels’ melts down at the box office, marking a new low for the MCU	The superhero factory hit a new low with the weekend launch of “The Marvels,” which opened with just $47 million, […]	Performance	The Marvels
128	Thanksgiving Director Eli Roth Kills Misconceptions Around Horror Movie Censorship	Learn More It's not unusual for the Motion Picture Association of America to scrutinize the works of horror filmmakers, especially when it comes to slicing out explicit, NC-17-level gore in movies going for an R rating. But horror maestro Eli Roth has become …	Actor & Director	Thanksgiving
129	Duchess of Sussex says she is ‘thrilled’ about return to Hollywood	Former Suits actress Meghan Markle said she is “thrilled” to have returned to the entertainment industry with her and husband Prince Harry’s production company.	Unrelated	Not relevant
130	Emerald Fennell Is “So Proud of Everyone” Who Participated in the Actors Strike	Emerald Fennell reacted to the end of the actors strike ahead of a screening of her upcoming film, Saltburn. The Oscar-winning writer hit the red carpet in New York City on Thursday with star and Oscar nominee Barry Keoghan to celebrate the MGM drama. The scr…	Actor & Director	Saltburn
131	T LOunge for November 6th, 2023	Nando’s Restaurant – Clydebank, UK It’s MONDAY, darlings! Let’s spend it a fancy chicken shop making lots of noise and clatter, yes? Yes! Pull up a chair or slide into a banquette, because we have many unimportant things to show you today.     As She Prepares…	Unrelated	Not relevant
0	Did Priscilla Presley Ever Remarry After Her Divorce From Elvis?	(Getty Image) The businesswoman and actress is the focus of the latest Sofia Coppola film, which concerns her marriage to Elvis Presley.	Movie production	Priscilla
1	Sofia Coppola On 'Priscilla'	Sofia Coppola's new movie is about the relationship between Priscilla and Elvis Presley --<em> </em>from Priscilla's point of view. The two met when she was 14 and he was 24.  Coppola makes films about the internal lives of young women, including <em>The Virg…	Actor & Director	Priscilla
2	Margot Robbie unable to speak at Saltburn premiere	The actress and producer lost her voice before her first red carpet since the end of the actors' strike.	Actor & Director	Saltburn
3	Richard Linklater’s ‘Hit Man’ to Open Morocco’s Marrakech Film Festival	Richard Linklater’s action comedy “Hit Man” is set to open the Marrakech International Film Festival, which has announced its lineup of more than 70 films mixing known titles and fresh fare. The fest is forging ahead with its 20th edition, which will run Nov.…	Unrelated	Not relevant
4	Hollywood’s feast and famine before Thanksgiving, as ‘Hunger Games’ prequel tops box office	“The Hunger Games: The Ballad of Songbirds &amp; Snakes” topped the North American box office in its first weekend in theaters with $44 million in ticket sales, according to studio estimates Sunday. It was a busy weekend at the multiplex, leading into the oft…	Performance	Thanksgiving
5	Jacob Elordi Praises Austin Butler's Elvis, Talks Getting Priscilla Presley's Approval for 'Priscilla'	Jacob Elordi is portraying the King of Rock n' Roll in 'Priscilla,' and reveals what Priscilla Presley said of his accent.	Actor & Director	Priscilla
6	‘Thanksgiving’ – Eli Roth Reveals How Covid Influenced His Killer’s Design and the Research Put Into the Script	A new holiday horror classic emerges with the arrival of Eli Roth‘s Thanksgiving in theaters on November 17. In Thanksgiving, “After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts – the birthp…	Actor & Director	Thanksgiving
7	The Marvels' Has A Far From Marvelous N.America Opening	"New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normally money-cranking Marvel Cinematic Universe."	Backlash	The Marvels
8	‘Grindhouse’ – Revisiting the Influential Box Office Failure With Via Vision’s New Blu-ray Release	Grindhouse is one of the most influential box office failures of the 21st century. Despite grossing a paltry $25.4 million at the box office on a budget of around $60 million, Robert Rodriguez and Quentin Tarantino’s 2007 love letter to exploitation cinema ha…	Unrelated	Not relevant
9	Is There a 'Thanksgiving' (2023) Movie End Credits Scene? Details Revealed!	The new horror movie Thanksgiving is now in theaters and it has been getting rave reviews, with a Rotten Tomatoes score of 87% at the time this post was published. If the movie does well at the box office, it’ll likely become a new horror franchise from direc…	Positive review	Thanksgiving
10	5 Things Marvel Studios Should Do to Course Correct After The Marvels	We can admit it now. The Marvels bombed.  Marvel has had some misfires before, but they usually happened only on the critical end. Audiences still rushed to see panned flicks like Ant-Man and the Wasp: Quantumania and Thor: Love & Thunder. But with The Marvel…	Backlash	The Marvels
11	‘Hunger Games’ Prequel Leads Box Office As ‘Marvels’ Crashes	The Ballad of Songbirds and Snakes leads newcomers with $45 million while MCU film plummets 79% from opening weekend	Performance	THG
12	Barry Keoghan Talks His Full Frontal 'Saltburn' Scene, Director Reveals How Many Takes They Filmed	Barry Keoghan bared it all in his movie Saltburn, and now he’s opening up about the experience. The 31-year-old actor shares the screen with Jacob Elordi and Carey Mulligan in the movie, but he takes center stage in the final scene, which features full-fronta…	Actor & Director	Saltburn
13	Lana Del Rey isn’t on the Priscilla soundtrack	"Lana Del Rey didn't have time to do a song for the ""Priscilla"" soundtrack, according to director Sofia Coppola."	Movie production	Priscilla
14	How The Ballad Of Songbirds And Snakes Director Made A Vital Hunger Games Prequel [Exclusive Interview]	We sat down with director Francis Lawrence to talk about the intricacies of his new Hunger Games prequel, The Ballad of Songbirds and Snakes.	Actor & Director	THG
15	Thanksgiving review: Eli Roth serves up a gory feast	Horror fans have been waiting more than a decade for Thanksgiving, director Eli Roth’s holiday slasher about a killer in a pilgrim mask terrorizing a small Massachusetts town. Ever since Roth’s fake trailer for the film showed up in Quentin Tarantino and Robe…	Movie production	Thanksgiving
16	The Ending Of Saltburn Explained	"Learn More This article contains spoilers for ""Saltburn."" Writer-director Emerald Fennell knows how to play around with audience expectations. ""Saltburn,"" Fennell's follow-up to her Oscar-winning debut film ""Promising Young Woman,"" delivers another ending tha…"	Movie production	Saltburn
17	‘Napoleon’ Review: Ridley Scott’s Epic Revels in Blood and Nothing Else	Joaquin Phoenix can't find the tone between childish immaturity and stoic leader	Unrelated	Not relevant
18	‘She Says Good-bye to Him in Pants’	Sofia Coppola’s new movie splits Priscilla Presley’s life into three distinct phases, with each step toward self-actualization reflected in what she’s wearing.	Movie production	Priscilla
19	‘Thanksgiving’ Review: Patrick Dempsey in an Eli Roth Flick That Offers Just Enough Cheap Kills	I’ve heard of long-lead movie trailers, but this is ridiculous. Yes, a mere 16 years after it was first teased as one of the fake coming attractions in 2007’s Robert Rodriguez/Quentin Tarantino double-feature collaboration Grindhouse, Eli Roth’s Thanksgiving …	Backlash	Thanksgiving
20	‘Thanksgiving’ Review: Patrick Dempsey Polices Eli Roth’s Hard-R Slasher Flick That Started As A Fake Trailer But Proves To Have Enough Leftovers To Still…	Director and horror aficionado Eli Roth had plenty of fun working on his friends Quentin Tarantino and Robert Rodriguez’s 2007 drive-in double feature Grindhouse. Roth wasn’t part of the main attraction but he did do one of the fake trailers for a non-existen…	Movie production	Thanksgiving
21	Saltburn Is a Black Comedy That’s Too Eager to Shock	Emerald Fennell's 'Saltburn' becomes more sour with every twist; it wears its grim determination to shock like a family crest. Read TIME's review.	Backlash	Saltburn
22	Don't Feed The Trolls, And Don't Blame The Marvels Director Nia DaCosta For The Film's Box Office	Crappy people online are throwing The Marvels director Nia DaCosta under the bus for the film&amp;#39;s disappointing box office, but that&amp;#39;s objectively inaccurate.	Performance	The Marvels
23	All the ‘Hunger Games’ Easter eggs spotted in ‘The Ballad of Songbirds and Snakes’	"The Ballad of Songbirds and Snakes is set 60 years before the events of the ""Hunger Games"" trilogy. Here's all the Easter eggs to the original."	Movie production	THG
24	Alexander Payne Recommends 5 Films For Alamo Drafthouse’s ‘Guest Selects’ Series [Exclusive]	In celebration of “The Holdovers” hitting theaters this weekend, Alexander Payne teamed up with Alamo Drafthouse for a special “Guest Selects” conversation. In the video (which you can watch below), Payne gives five film recommendations when people ask him wh…	Actor & Director	The Holdovers
25	Robert Kardashian ‘wanted to marry’ Priscilla Presley—until she cooked for him	Priscilla Presley, who divorced Elvis 50 years ago after a turbulent six-year marriage, claimed in a Q-and-A event last week that she had “never wanted to marry after him” because “no one could ever match” the music legend. But Priscilla, 78, is not telling t…	Actor & Director	Priscilla
26	‘The Marvels’ struggles at box office amid superhero fatigue: ‘The growth of the genre has stopped’	The 33rd installment in the Marvel Cinematic Universe managed less than a third of the $153.4 million its predecessor launched with.	Performance	The Marvels
27	A Film About How Even Curmudgeons Can Change	Alexander Payne’s The Holdovers is a pitch-perfect dramedy from a master of the form.	Movie production	The Holdovers
28	Thanksgiving Figures Galore Up For Preorder At NECA Store	Thanksgiving, the new slasher film from director Eli Roth, is getting a slew of releases from NECA that are up for preorder today. Their various lines are represented: Ultimates, Retro Cloth, plush, Toony Terrors, and even mask ad shirt sets. The Ultimates fi…	Positive review	Thanksgiving
29	Eli Roth Reveals The Real-Life Tragedy Behind Thanksgiving's Black Friday Scene	"Learn More While writer-director Eli Roth's fake trailer-turned-movie ""Thanksgiving"" naturally focuses on a twisted look at the festive holiday, the long-awaited horror thriller is actually rooted in another traditional day that immediately follows it. New in…"	Movie production	Thanksgiving
30	Barry Keoghan, Jacob Elordi, & Carey Mulligan Hit the Red Carpet at 'Saltburn' Premiere	The stars of Emerald Fennell‘s new movie are hitting the red carpet! Barry Keoghan and Jacob Elordi posed for photos together while arriving at the premiere of Saltburn held on Tuesday evening (November 14) at The Theatre at Ace Hotel in Los Angeles. Fellow c…	Actor & Director	Saltburn
31	‘Saltburn’, ‘May December‘ Debut; André 3000 Album ‘New Blue Sun’ Is A “Cinematic Listening Experience” – Specialty Preview	It’s a cool indie weekend when the new album by André 3000, New Blue Sun, has morphed into a “cinematic listening experience.” Variance Films is putting the experience, directed by Terence Nance, into three theaters in NYC (IFC Center), LA (Cinepolis Inglewoo…	Movie production	Saltburn
32	Start your week smart: Blinken meeting, Trump trial gag order, Nepal earthquake, January 6 sentence, Washington Post CEO | CNN	Start your week smart: Blinken meeting, Trump trial gag order, Nepal earthquake, January 6 sentence, Washington Post CEO | CNNcnn.com	Unrelated	Not relevant
33	Jordan Peele's Remake Of Wes Craven Cult Classic Gets First Major Update In 3 Years	Jordan Peele's remake of the Wes Craven cult classic The People Under the Stairs gets the first update in 3 years as it hires writer Jeremy Carver.	Unrelated	Not relevant
34	‘Captain Marvel’ Lead’s LGBTQ+ Romance Gets Exciting Update: “Fans Really Shipped Them”	After a fan-favorite Thor character made a surprise cameo in The Marvels (2023), fans were left wondering if her and Carol Danvers (Brie Larson) were, in fact, a little more than just friends. Now, executive producer Mary Livanos is speaking on their unique “…	Positive review	The Marvels
35	The Ballad of Songbirds & Snakes: Dakota Shapiro on Hitting His Stride	There will always be pressure whenever you become part of the torch-bearing process of becoming the next generation in a beloved franchise. As a fan of the original Suzanne Collins novels, The Hunger Games: The Ballad of Songbirds & Snakes star Dakota Shapiro…	Actor & Director	THG
36	‘The Marvels’ Director Tackles Anti-Woke MCU Fans	In a recent interview, The Marvels (2023) director Nia DaCosta addressed the anti-woke backlash to the film and how she deals with the toxic parts of the Marvel fan base. The sequel to Captain Marvel (2019), The Marvels follows Captain Marvel/Carol Danvers (B…	Actor & Director	The Marvels
37	SAG-AFTRA & Studios “Closer & Closer” To A Deal; More Talks Set For Thursday	EXCLUSIVE: There’s real movement in talks between SAG-AFTRA and the studios for a new three-year contract, No deal yet, but a framework is in place for a potential agreement, we hear. Back in negotiations Wednesday on day 111 of the actors strike, the two sid…	Unrelated	Not relevant
38	THE MARVELS Reportedly Cut A Scene Confirming Carol Danvers And Valkyrie Were In A Relationship	Some details on several scenes that were reportedly cut from The Marvels have been revealed, and it seems the sequel originally made it clear that Carol Danvers and Valkyrie were in a relationship.	Movie production	The Marvels
39	Chanel Outlines Support for MoMA Film Institute for Fall 2023	"The annual Film Benefit will not be held given the recently resolved strikes, but the brand continues to support MoMA through The Contenders program, which includes a ""Barbie"" talk with Dua Lipa."	Unrelated	Not relevant
40	‘The Holdovers’ review: Have a merry sweet-and-sour ‘70s Christmas with Paul Giamatti and company	I love how two movies opening this week, “The Holdovers” and “Priscilla,” begin with close-ups of products dear to their main characters. For Hunham, it's a 1970s tube of Preparation H.	Positive review	The Holdovers
41	The Hunger Games prequel director reveals the film got an R-rating for its first cut and justifies its lengthy runtime	Exclusive: The Hunger Games: The Ballad of Songbirds and Snakes director Francis Lawrence opens up to GamesRadar+ about the bloody and violent prequel	Actor & Director	THG
42	What Happened To Lucy Gray After Ballad Of Songbirds & Snakes Ending? Rachel Zegler Has Thoughts	Rachel Zegler weighs in on the mystery of what happened to Lucy Gray Baird after the ambiguous ending of The Ballad of Songbirds and Snakes.	Actor & Director	THG
43	Duchess of Sussex 'thrilled' to be back in Hollywood	"The Duchess of Sussex has said she is ""thrilled"" to be back in Hollywood, after appearing on the red carpet at a glitzy industry event."	Unrelated	Not relevant
44	Saltburn’s Ending Twists, Twirls, and Tumbles	The ending of ‘Saltburn’ twists, twirls, and tumbles, as an explanatory montage and an eat-the-rich message muddle Emerald Fennell’s cinematic bathwater.	Movie production	Saltburn
45	Meghan Markle leads stars arriving at Power of Women event in US	The Duchess of Sussex has attended a star-studded ceremony to celebrate the accomplishments of women in entertainment.	Unrelated	Not relevant
46	Will the Government Put the Reins on Amazon?	The tech giant is a monopoly that harms consumers and merchants, according to a federal lawsuit. Plus, the director Emerald Fennell discusses her latest film, “Saltburn,” on The New Yorker Radio Hour.	Actor & Director	Saltburn
47	Eli Roth’s Thanksgiving Isn’t Terrible, and for That We Can Be Thankful	The best thing that can be said about Eli Roth’s Thanksgiving is that it pays off some of the the unforgettable images from the fake trailer he made for it 16 years ago.	Backlash	Thanksgiving
48	Thanks for Giving Us Nightmares: Eli Roth’s 6 Nastiest Movie Moments	In honor of Thanksgiving now playing in theaters, I decided to take a look at the filmography of Eli Roth. After spending a few days watching films like Cabin Fever, Hostel and The Green Inferno, I cried in the shower for about twenty minutes and am vegan now…	Positive review	Thanksgiving
49	Meghan leads stars arriving at Power of Women event in US	The Duchess of Sussex has attended a star-studded ceremony to celebrate the accomplishments of women in entertainment.	Unrelated	Not relevant
50	‘The Marvels’ bombs at the box office	NEW YORK (AP) — Since 2008’s “Iron Man,” the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend laun…	Performance	The Marvels
51	Few winners in ‘Hunger Games’ prequel	At times, this “Hunger Games” installment is like a hard-to-follow, futuristic “Gladiator.” At other, it's a dystopian “Lord of the Flies” meets “Game of Thrones.”	Movie production	THG
52	SALTBURN Los Angeles Premiere Red Carpet Rundown	The cast and director of Saltburn came out in style for the LA premiere and once again, we must take a moment to savor the return of premiere red carpets to our lives. Also, if you’re looking for Saltburn fangirl Margot Robbie’s appearance, it’s right here. N…	Actor & Director	Saltburn
53	Thanksgiving’s ending, explained	Here's everything you should know about the ending of Eli Roth's Thanksgiving.	Movie production	Thanksgiving
54	How the Warm, Elegant Look of ‘The Holdovers’ Came Together	Alexander Payne’s The Holdovers is a period piece that’s more like a time capsule, with the look of film grain and even vintage lenses to make it feel like a movie that’s been locked in a vault since 1970, when it is set. Payne and cinematographer Eigil Bryld…	Movie production	The Holdovers
55	Lana Del Rey Didn't Realize You Have to Submit Music to Be Considered for the Grammys	Lana Del Rey is reacting to her five Grammy nominations! On Friday (November 10), the 38-year-old singer received nods in major categories including Album of the Year and Song of the Year. Lana, who hasn’t won a Grammy yet, learned about the process of submit…	Unrelated	Not relevant
56	Review: The Marvels appeared first on Chicago Reader.	While the titular Marvels make for an endearing, women-centric found family, the film’s hyperawareness of its role in a larger universe is its downfall.	Backlash	The Marvels
57	The Charming and Exuberant Characters Save the Otherwise Messy 'The Marvels'	It's not much of an overstatement to say that Phase V of the MCU's cinematic dominion has been, more often than not, a disappointment. Sure, the films continue to make money -- most of the time -- but the audience's...	Backlash	The Marvels
58	Indie Film Release Guide: November 17th [An ONTD Original]	It's the weekend before Thanksgiving, and releases are kicking into high gear through the end of the year. Sony is delivering Thanksgiving to the masses a week early, while Universal adds another film to its Trolls universe. But the biggest new opening of the…	Unrelated	Not relevant
59	Weekend Box Office: Five Nights at Freddy’s overcomes horrific 76% decline to reclaim first	With Dune: Part 2 moving off this weekend, Five Nights at Freddy's was easily able to reclaim the top spot despite losing 76% of its audience	Unrelated	Not relevant
60	Eli Roth Takes a Stab at Thanksgiving Horror	Ever since he was a boy, the director has wanted to make a gory movie about the holiday. “Thanksgiving” is adapted from his 2007 faux trailer. For almost every holiday, there’s a horror movie, from “My Bloody Valentine” to “Black Christmas.” Thanksgiving, too…	Backlash	Thanksgiving
61	Ranking the 2024 Best Picture contenders as of November, including Barbie	Let's check in on the Oscars race for Best Picture this November.	Unrelated	Not relevant
62	The Marvels Reveals Why Carol Danvers Never Came Back Home	Nia DaCosta's The Marvels addresses a major hole in the life of Carol Danvers aka Captain Marvel after she left Earth for space in the mid-1990s.	Movie production	The Marvels
63	Where Can You Watch Eli Roth’s ‘Thanksgiving’?	(Getty Image) Eli Roth's 'Thanksgiving' has been in the works for over 15 years. When will you be able to watch at home around the table?	Movie production	Thanksgiving
64	Thanksgiving Review: Eli Roth's Faux Trailer Becomes A New Slasher Classic	Thanksgiving is great in the way all good slashers are — it's funny and gruesome, with B-movie energy and a solid whodunnit at the center of it all.	Positive review	Thanksgiving
65	Elvis Presley’s Daughter Slams Movie about Mother Before Her Death	The American music industry has inspired over a century’s worth of artists to create culturally-defining music that has transcended various cultures, beliefs, and social classes. While there have been many renowned performers, it is rare to have an artist wit…	Backlash	Priscilla
66	A ‘Thanksgiving’ Horror Movie Is Exactly the Hack Job You’d Expect	None of it makes sense.	Backlash	Thanksgiving
67	Saltburn Is All Vibes and Empty Provocations	‘Saltburn,’ the second film from ‘Promising Young Woman’’s Emerald Fennell, is all vibes and empty provocations.	Backlash	Saltburn
68	‘The Marvels’ flops at the box office, marking a new low for the MCU	Reviews weren’t strong (62% fresh on Rotten Tomatoes) and neither was audience reaction. “The Marvels” is only the third MCU release to receive a “B” CinemaScore from moviegoers, following “Eternals” and “Ant-Man and the Wasp: Quantamania.”	Performance	The Marvels
69	In ‘May December’ & ‘Priscilla,’ Abuse Isn’t So Complicated	(Photo Illustration by Luis G. Rendon/The Daily Beast/A24/Netflix) The best satires lampoon human behavior that isn’t that totally obvious to the people who exhibit it—or even the ones who think they understand it.For instance, while I enjoyed critically accla…	Movie production	Priscilla
70	Box-Office: “Hunger” Soft, “Marvels” Plunges	As expected, “The Hunger Games: The Ballad of Songbirds and Snakes” took the top spot at the box-office this weekend with the prequel film’s opening weekend haul earning $19.1 million on its opening day (including $5.75 million in Thursday previews). The resu…	Performance	The Marvels
71	Contenders Film: Los Angeles Kicks Off Today Spotlighting 28 Awards-Season Movies	Deadline’s Contenders Film: Los Angeles kicks off Saturday morning at 8:30 a.m. PT spotlighting 28 movies, with panel discussions featuring cast and creatives from this awards season’s most talked-about films, including actors scheduled to return to post-stri…	Unrelated	Not relevant
72	Jamie Dornan & Wife Amelia Warner Couple Up to Support Friend Matthew Heineman's New Project	Jamie Dornan is helping support his friend Matthew Heineman! The 41-year-old actor and his wife Amelia Warner coupled up at a dinner he hosted in honor of Matthew‘s new project American Symphony on Tuesday (November 14) in London, England. Matthew directed Ja…	Unrelated	Not relevant
73	‘Thanksgiving’ Review: Gobble, Gobble, Gasp	The origin of this seasonal slasher is in an ersatz trailer the horror filmmaker Eli Roth made for the portmanteau movie “Grindhouse” in 2007. The two lurid features directed by Robert Rodriguez and Quentin Tarantino were separated by a series of teasers for …	Movie production	Thanksgiving
74	Guileless charmer or calculated schemer': Academy Award winner Emerald Fennell puts her spin on class envy in Saltburn	Privilege, intrigue, deception: Barry Keoghan, Rosamund Pike and Aussie Jacob Elordi and stars in Academy Award winner Emerald Fennell's new film Saltburn.	Actor & Director	Saltburn
75	Carey Mulligan Urges Fundraising for Children in International War Zones: These Tragedies ‘Aren’t Hypothetical’	Carey Mulligan highlighted the need to support children in war zones across the world at Variety’s Power of Women Presented by Lifteime event on Thursday. Mulligan was honored for her work as a global ambassador for War Child UK, an organization focused on pr…	Unrelated	Not relevant
76	Thanksgiving's Origin Is Weirder Than A Fake Grindhouse Movie Trailer Says Eli Roth	Learn More Thanksgiving's Origin Is Weirder Than A Fake Grindhouse Movie Trailer Says Eli Roth - Exclusive Interview In 2007, prolific horror filmmaker Eli Roth's created one of his most memorable works for moviegoers that wasn't a movie at all. This week, Ro…	Actor & Director	Thanksgiving
77	Barry Keoghan and Emerald Fennell at the SALTBURN Special Screening in New York	Saltburn director Emerald Fennell rang up star Barry Keoghan the second the strike ended and said “I don’t care if you don’t have anything to wear, you’re hitting the red carpet with me in New York on Thursday night, bitch.” We’re presuming.       That would …	Actor & Director	Saltburn
78	‘The Holdovers’ Director Alexander Payne Weighs In on AI, Working With Paul Giamatti and Returning to His Greek Roots in Thessaloniki	Hollywood might have ground to a halt in recent months during the recent labor strikes, with the role of artificial intelligence in the moviemaking business a key stumbling block between studio bosses and both the writers and actors guilds. But two-time Acade…	Actor & Director	The Holdovers
79	Francis Lawrence on the Music, Rebellion, and Extra Footage from The Hunger Games	The director discusses the prequel The Ballad of Songbirds & Snakes.	Actor & Director	THG
80	The MCU Is in Big Trouble — Can These Modest Ideas Help the Massive Franchise Get Back on Track?	Six IndieWire staffers of various levels of MCU fandom and interest offer up their ideas for restoring the blockbuster behemoth to its former glory — or at least make it actually interesting.	Backlash	The Marvels
81	‘Saltburn’ Is A Wickedly Twisted Tale Of Desire, Power And Privilege	Following the timely and call-to-action cinematic storytelling of Promising Young Woman (2020), Oscar-winning writer/director/producer Emerald Fennell returns with another sharp and unapologetic creation, once again sparking conversation with her new psycholo…	Movie production	Saltburn
82	Rachel Zegler, Tom Blyth, & 'The Hunger Games' Prequel Cast Stun at NYC Premiere (Photos)	The cast of The Hunger Games: The Ballad of Songbirds and Snakes is hitting the red carpet in the Big Apple! The premiere for the Hunger Games prequel was held on Wednesday (November 13) at the Metrograph in New York City, just two days after the actors atten…	Actor & Director	THG
83	The Ballad Of Songbirds & Snakes: Rachel Zegler On Lucy Gray's Fate	The book that The Hunger Games: The Ballad Of Songbirds & Snakes is based on has been out since late 2020, but plenty of people haven't read the book but have every intention of seeing the movie. Star Rachel Zegler has shared her opinion on the ending her cha…	Actor & Director	THG
84	Tom Blyth On Playing a Young Coriolanus Snow in the Hunger Games Prequel	Playing a younger version of the character made famous by Donald Sutherland presented both challenges and rewards for Tom Blyth in 'The Hunger Games: The Ballad of Songbirds & Snakes.'	Actor & Director	THG
